filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,root_ttr_aw,log_ttr_aw,maas_ttr_aw,mattr50_aw,msttr50_aw,hdd42_aw,mtld_original_aw,mtld_ma_bi_aw,mtld_ma_wrap_aw
108531.txt,261,136,139,95,122,41,0.6985294117647058,0.5325670498084292,0.5210727969348659,8.418188664026353,0.882853242710942,0.04847504497807367,0.7902830188679242,0.78,0.8380110445229072,73.71841280047917,73.09798672092525,76.12260536398468
110362.txt,521,214,202,139,319,75,0.6495327102803738,0.3877159309021113,0.4107485604606526,9.375510222840123,0.8577670110230093,0.05235240506166581,0.7530932203389826,0.7579999999999999,0.8028618439278433,57.90396019555092,58.95498741706703,57.88675623800384
120355.txt,379,203,213,154,166,49,0.7586206896551724,0.5620052770448549,0.5356200527704486,10.427409587831537,0.8948502873117266,0.04077721004233677,0.8046060606060618,0.802857142857143,0.8433589806909773,79.74053738317757,77.7039755351682,90.32717678100263
124249.txt,254,149,130,100,124,49,0.6711409395973155,0.5118110236220472,0.5866141732283464,9.349091496558563,0.9036742346854438,0.04005506270510244,0.8047804878048775,0.7919999999999999,0.8541452263464842,99.75097378154561,86.59331674369001,88.26377952755905
125979.txt,68,50,28,23,40,27,0.46,0.4117647058823529,0.7352941176470589,6.063390625908324,0.9271278259853,0.039766340839828676,0.7747368421052632,0.78,0.8205970481815515,69.96444444444445,56.525,65.77941176470588
126872.txt,253,145,118,93,135,52,0.6413793103448275,0.466403162055336,0.5731225296442688,9.116071895198006,0.8994005848601565,0.041861993293046074,0.7979411764705882,0.78,0.8252457236076656,84.33333333333333,85.83990708258273,81.81027667984189
138523.txt,674,286,457,251,217,35,0.8776223776223776,0.6780415430267063,0.42433234421364985,11.016308385530238,0.8683850738428185,0.04652907418045903,0.8290239999999982,0.8292307692307692,0.8583985088617736,89.69405043341213,91.71942605207869,94.37982195845697
139801.txt,550,245,281,179,269,66,0.7306122448979592,0.5109090909090909,0.44545454545454544,10.446835101424911,0.8718430204599935,0.046766429871244145,0.7978043912175632,0.8018181818181819,0.8266021611787369,87.70369510319003,79.34503722084366,88.64
141363.txt,276,153,135,97,141,56,0.6339869281045751,0.4891304347826087,0.5543478260869565,9.209517761061344,0.8950318743413266,0.04300370154297651,0.8358590308370039,0.8320000000000001,0.8564861498629825,104.92950214288386,83.37036422620363,104.90942028985508
148731.txt,944,397,495,315,449,82,0.7934508816120907,0.524364406779661,0.4205508474576271,12.92124941484677,0.8735512508164932,0.042504181358971695,0.7972290502793274,0.7955555555555557,0.8410279666262255,89.71918416831149,85.42881419859856,90.15254237288136
